iter	Passed	Remaining
0	21	2121
1	42	2084
2	64	2094
3	85	2058
4	111	2117
5	135	2119
6	159	2120
7	183	2111
8	205	2080
9	226	2036
10	248	2010
11	273	2003
12	295	1980
13	324	1990
14	344	1954
15	367	1927
16	396	1935
17	420	1916
18	442	1885
19	462	1848
20	480	1808
21	500	1774
22	521	1746
23	541	1715
24	564	1692
25	610	1736
26	658	1780
27	693	1783
28	731	1789
29	770	1798
30	796	1773
31	826	1755
32	853	1733
33	878	1705
34	900	1672
35	925	1645
36	954	1625
37	979	1598
38	999	1563
39	1020	1531
40	1040	1497
41	1061	1466
42	1081	1433
43	1102	1402
44	1122	1371
45	1146	1345
46	1168	1317
47	1192	1292
48	1207	1256
49	1227	1227
50	1247	1199
51	1268	1170
52	1290	1144
53	1311	1117
54	1331	1089
55	1354	1064
56	1377	1039
57	1397	1011
58	1419	986
59	1443	962
60	1470	939
61	1493	915
62	1517	891
63	1545	869
64	1571	846
65	1584	816
66	1602	789
67	1623	763
68	1642	737
69	1656	710
70	1680	686
71	1699	660
72	1724	637
73	1749	614
74	1769	589
75	1788	564
76	1808	540
77	1827	515
78	1846	490
79	1865	466
80	1878	440
81	1902	417
82	1930	395
83	1952	371
84	1976	348
85	1998	325
86	2018	301
87	2037	277
88	2057	254
89	2079	231
90	2103	208
91	2121	184
92	2141	161
93	2160	137
94	2183	114
95	2209	92
96	2230	68
97	2254	46
98	2279	23
99	2306	0
